Price,Bedrooms,Bathrooms,Size
ZMW2400000,3,2.5,80m²
ZMW3250000,3,1,150m²
ZMW5500000,2,N/A,1600m²
ZMW550000,1,1,57m²
ZMW22100000,N/A,N/A,4000m²
ZMW3000000,2,N/A,600m²
ZMW16031676,N/A,N/A,N/A
ZMW1500000,2,2,9m²
ZMW1500000,2,N/A,N/A
ZMW550000,N/A,N/A,N/A
ZMW2500000,3,2,N/A
ZMW2500000,2,2,600m²
ZMW3000000,N/A,N/A,1200m²
ZMW4000000,3,2,N/A
ZMW1200000,2,1,N/A
ZMW1700000,3,2,N/A
ZMW1300000,3,2,595m²
ZMW3250000,3,1,150m²
ZMW1200000,N/A,N/A,600m²
ZMW3000000,2,2,801m²
ZMW3000000,3,2,1200m²
ZMW4000000,3,2,N/A
ZMW1350000,2,1,N/A
ZMW1300000,2,N/A,462m²
ZMW2500000,2,2,N/A
ZMW1800000,3,2,N/A
ZMW1500000,2,1,N/A
ZMW5000000,2,2,N/A
ZMW3000000,3,2,822m²
ZMW1800000,3,2,600m²
ZMW1500000,1,1,N/A
ZMW3750000,3,2,N/A
ZMW1450000,3,2,900m²
ZMW2000000,3,2,N/A
ZMW7600000,3,2,N/A
ZMW2550000,2,2,600m²
ZMW1800000,3,2,600m²
ZMW1400000,2,1,444m²
ZMW2700000,2,2,600m²
ZMW2000000,1,N/A,N/A
ZMW1400000,2,1,444m²
ZMW2500000,2,2,600m²
ZMW2400000,3,2.5,80m²
ZMW1750000,3,2,N/A
POA,3,4,900m²
ZMW1800000,3,2,600m²
ZMW3000000,2,2,N/A
ZMW1200000,2,2,N/A
ZMW2800000,2,2,600m²
ZMW1500000,2,2,625m²
ZMW2400000,3,2,N/A
ZMW800000,N/A,N/A,N/A
ZMW5500000,2,2,N/A
ZMW2500000,N/A,N/A,600m²
ZMW1200000,2,2,N/A
ZMW1200000,2,2,N/A
ZMW1350000,3,N/A,N/A
ZMW1700000,3,1,N/A
ZMW3000000,4,4,N/A
ZMW4000000,3,2,N/A
POA,N/A,N/A,2.1acres
ZMW5500000,2,2,N/A
ZMW800000,1,1,7m²
POA,2,1,900m²
ZMW770000,1,1,N/A
ZMW2500000,N/A,N/A,N/A
ZMW950000,2,1,600m²
ZMW830000,N/A,N/A,N/A
ZMW4000000,4,4,520m²
ZMW750000,2,2,N/A
ZMW3402747,3,2,N/A
ZMW3500000,3,2,1200m²
ZMW17000000,N/A,N/A,N/A
ZMW550000,2,1,N/A
ZMW920000,3,2,500m²
ZMW1500000,4,4,300m²
ZMW7000000,3,2,1100m²
ZMW2100000,3,2,2500m²
ZMW5000000,1,2.5,N/A
ZMW1200000,3,1.5,N/A
ZMW600000,2,1,75m²
ZMW4000000,4,4,520m²
ZMW20000000,3,N/A,N/A
ZMW107000000,N/A,N/A,2acres
ZMW8500000,2,1,1314m²
ZMW1000000,2,N/A,N/A
ZMW2196000,3,2,150m²
ZMW1980000,3,2,150m²
ZMW1600000,2,1,N/A
ZMW18500000,24,16,1920m²
ZMW13931776,3,N/A,0.97acres
ZMW2200000,2,2,N/A
ZMW3120000,4,3,N/A
ZMW2200000,2,2,N/A
ZMW15375000,N/A,N/A,2.5acres
ZMW600000,2,1,70m²
ZMW4841309,4,4,N/A
ZMW4650000,1,1,1500m²
ZMW1400000,3,1,N/A
ZMW2000000,3,2,N/A
ZMW1400000,3,2,600m²
ZMW1900000,3,2,600m²
POA,N/A,N/A,N/A
ZMW3500000,2,2,N/A
ZMW3500000,2,2,N/A
ZMW2300000,3,3,N/A
ZMW22000000,3,N/A,6000m²
ZMW1150000,2,1,N/A
ZMW8204600,9,9,1000m²
ZMW2636000,2,2,N/A
ZMW106400000,N/A,N/A,N/A
ZMW11000000,2,1.5,N/A
ZMW1800000,2,2.5,N/A
ZMW1800000,3,2,1600m²
ZMW600000,2,1,N/A
ZMW8000000,3,2,N/A
ZMW2200000,3,2.5,N/A
ZMW9000000,3,2,3500m²
ZMW1650000,2,N/A,N/A
ZMW16000900,3,4,N/A
ZMW1800000,3,2,1600m²
ZMW450000,2,2,460m²
ZMW16600000,N/A,N/A,3000m²
ZMW2300000,3,2.5,N/A
ZMW600000,2,1,N/A
ZMW20280000,N/A,N/A,N/A
ZMW1500000,3,2,N/A
ZMW550000,2,2,491m²
ZMW46400000,3,4,N/A
ZMW1050000,2,1,500m²
ZMW19024000,3,2,1675m²
ZMW5691979,3,2,259m²
ZMW1800000,3,2,N/A
ZMW1800000,3,2,N/A
POA,N/A,N/A,N/A
ZMW5000000,3,2.5,N/A
ZMW9500000,N/A,N/A,N/A
ZMW2958578,3,2,N/A
ZMW950000,2,1,1acres
ZMW950000,2,N/A,N/A
ZMW450000,2,2,460m²
ZMW7500000,N/A,N/A,3acres
ZMW4300000,3,2.5,1500m²
ZMW76000000,4,4,N/A
ZMW2100000,3,2,N/A
ZMW10500000,N/A,N/A,N/A
ZMW450000,2,2,460m²
POA,11,10,1331m²
ZMW2000000,3,2,N/A
ZMW600000,2,1.5,N/A
ZMW47000000,N/A,N/A,N/A
ZMW2000000,3,2,2500m²
ZMW1500000,3,2,N/A
ZMW1600000,3,2,N/A
ZMW3700000,3,2,3000m²
ZMW1800000,3,2.5,N/A
ZMW47000000,N/A,N/A,N/A
ZMW9000000,3,N/A,40400404m²
ZMW2500000,2,2.5,N/A
ZMW45000000,3,3.5,N/A
ZMW30000000,3,4,2700m²
ZMW3500000,N/A,N/A,N/A
ZMW3800000,3,2,N/A
ZMW20880000,3,2,N/A
ZMW600000,2,2,N/A
ZMW12800000,6,2.5,N/A
ZMW1300000,3,2,595m²
ZMW22000000,2,2,N/A
ZMW2100000,2,1,600m²
ZMW4800000,3,2.5,900m²
ZMW2800000,3,3.5,2000m²
ZMW5200000,2,2.5,N/A
ZMW1300000,2,2,N/A
ZMW9000000,3,3.5,N/A
ZMW6400000,2,1,N/A
ZMW1400000,2,1,N/A
ZMW6500000,N/A,N/A,20000002m²
ZMW15000000,3,2.5,N/A
POA,3,2,910m²
ZMW1100000,2,2,1200m²
ZMW900000,2,1,600m²
ZMW1800000,3,N/A,N/A
ZMW18600000,3,2,N/A
ZMW12000000,2,2.5,N/A
ZMW650000,1,1,N/A
ZMW795000,2,2.5,N/A
ZMW40000000,3,3,5761m²
POA,3,2,910m²
ZMW7500000,2,1,N/A
ZMW1300000,3,2,N/A
ZMW8500,3,2,N/A
POA,3,2,N/A
ZMW1700000,3,2.5,N/A
ZMW6840000,3,2,N/A
ZMW8500,3,2,N/A
ZMW58300,3,2,N/A
