Price,Bedrooms,Bathrooms,Size
N/A,3,3.5,450m²
N/A,1,1,45m²
N/A,3,3.5,385m²
N/A,N/A,N/A,2345m²
N/A,0.5,1,45m²
N/A,1,1,55m²
N/A,16,16,854m²
N/A,0.5,1,47m²
R1695000,3,2,135m²
R2399000,4,2,420m²
R1950000,2,1,82m²
R2495000,1,1,324m²
R8990000,7,7.5,1542m²
R2350000,1,1,66m²
R138000000,5,6,745m²
R1490000,0.5,1,40m²
R3449000,2,1,90m²
R1349999,4,2,300m²
R3695000,3,2,521m²
R1950000,1,1,N/A
R138000000,5,6,745m²
R3675000,3,2,597m²
N/A,N/A,N/A,N/A
N/A,1,1,84m²
R2395000,0.5,1,N/A
R2195000,2,2,70m²
R490000,2,1,95m²
R5895000,2,2,127m²
R3995000,2,1,83m²
R2150000,2,1,N/A
R13950000,5,5,991m²
R3350000,3,4,391m²
R13950000,4,3.5,931m²
R995000,N/A,N/A,512m²
R4095000,2,2,280m²
R6300000,2,2,78m²
R2295000,2,1,68m²
R1200000,1,1,48m²
R1295000,2,1,68m²
R12644250,2,2,107m²
R3785000,2,2,71m²
R1790000,2,N/A,154m²
POA,N/A,N/A,728m²
R3350000,3,4,391m²
R3900000,3,3,180m²
N/A,N/A,N/A,N/A
N/A,4,2.5,459m²
R7395000,3,2.5,240m²
R3950000,1,1,89m²
R2875000,2,1,593m²
R1790000,1,1,62m²
R11500000,5,3,1500m²
R3895000,3,2,972m²
R12995000,3,3.5,221m²
R2650000,2,1,64m²
R3150000,2,2,70m²
R11500000,5,3,1500m²
R900000,1,1,46m²
R12500000,N/A,N/A,1136m²
R1650000,1,1,53m²
R14995000,3,2.5,222m²
R2995000,3,2,144m²
R8500000,N/A,N/A,2000m²
R20000000,N/A,N/A,1004m²
R1150000,2,1,70m²
R4750000,3,2,496m²
R1150000,1,1,67m²
R2400000,1,1,51m²
N/A,N/A,N/A,N/A
N/A,3,3,477m²
R1476000,N/A,N/A,246m²
R1985000,N/A,N/A,397m²
R2650000,3,1,496m²
R1985000,N/A,N/A,397m²
R3300000,3,3,471m²
R2495000,5,3,574m²
R6500000,3,3,109m²
R14680000,5,5,981m²
R3000000,1,1,51m²
R4250000,2,1,104m²
